--- SUMMARY STATISTICS ---
Total Components,10
Interfaces,7
Ports,6
Messages,7
Functional Flows,5

--- EXTRACTED ENTITIES ---
id,document_id,type,name,description,page
bd76a02f-1134-4f6a-a076-02fa4140f5b0,695210e4-ccb5-4588-aa56-6fc37d947779,Component,Crypto Service Manager,"...tial network support for CAN/LIN slave.  New Ethernet stack extensions  Added Crypto Service Manager to System Services  Revised presentation of J1939 and added new J1939 modules  Added new energy management concepts: “Pretended Networking”, “ECU Degradation”  Added...",4
a1ee3f5e-a256-4fa2-9185-a5deb7d056d9,695210e4-ccb5-4588-aa56-6fc37d947779,Component,J1939 modules,"...ervice Manager to System Services  Revised presentation of J1939 and added new J1939 modules  Added new energy management concepts: “Pretended Networking”, “ECU Degradation”  Added new modules: “Output Compare Unit Driver” and “Time Service”  Changed handling...",4
3b46a48b-fb0a-42c2-8335-324e2ec55b63,695210e4-ccb5-4588-aa56-6fc37d947779,Component,Output Compare Unit Driver,"...ement concepts: “Pretended Networking”, “ECU Degradation”  Added new modules: “Output Compare Unit Driver” and “Time Service”  Changed handling of Production Errors  Fixed various typography and layout issues  2011-12-22 4.0.3  AUTOSAR  Administration  Added a note for th...",4
2db6d3d4-c58d-4459-b04c-037e6f032130,695210e4-ccb5-4588-aa56-6fc37d947779,Component,Time Service,"...king”, “ECU Degradation”  Added new modules: “Output Compare Unit Driver” and “Time Service”  Changed handling of Production Errors  Fixed various typography and layout issues  2011-12-22 4.0.3  AUTOSAR  Administration  Added a note for the R3-compatibility...",4
48d9542b-889d-45ed-8270-0b9ac7ea40e7,695210e4-ccb5-4588-aa56-6fc37d947779,Component,FlexRay Transport Layer FrArTp,"...11-12-22 4.0.3  AUTOSAR  Administration  Added a note for the R3-compatibility FlexRay Transport Layer FrArTp on slide ""ki890"".  Added an overview chapter for energy management and partial networking",4
62dfb6f3-bc1a-410b-97e0-d77b88bc144e,695210e4-ccb5-4588-aa56-6fc37d947779,Component,Ethernet stack extensions,...inistration  Clarification of partial network support for CAN/LIN slave.  New Ethernet stack extensions  Added Crypto Service Manager to System Services  Revised presentation of J1939 and added new J1939 modules  Added new energy management concepts: “Pretended Networki...,4
254405a4-5f07-4c2a-b1d4-57a9caa8e168,695210e4-ccb5-4588-aa56-6fc37d947779,Interface,CAN,...ted new 4.2 concepts for: Switch Configuration; Sender-Receiver-Serialization;  CAN-FD; Large-Data-COM; E2E-Extension; Global Time Synchronization; Support for Post- build ECU-Configuration; Secure-Onboard-Communication; ASIL/QM-Protection  Introductio...,3
94894436-03d7-4246-9cf8-cd8e48b852f9,695210e4-ccb5-4588-aa56-6fc37d947779,Interface,LIN,...1.1  AUTOSAR  Administration  Clarification of partial network support for CAN/LIN slave.  New Ethernet stack extensions  Added Crypto Service Manager to System Services  Revised presentation of J1939 and added new J1939 modules  Added new energy m...,4
52a5133d-5bab-492a-a12c-6fe23b5b6942,695210e4-ccb5-4588-aa56-6fc37d947779,Interface,Ethernet,...inistration  Clarification of partial network support for CAN/LIN slave.  New Ethernet stack extensions  Added Crypto Service Manager to System Services  Revised presentation of J1939 and added new J1939 modules  Added new energy management concepts: “P...,4
6b975f3f-abb3-448e-b37f-9242cf9e4737,695210e4-ccb5-4588-aa56-6fc37d947779,Interface,FlexRay,"...11-12-22 4.0.3  AUTOSAR  Administration  Added a note for the R3-compatibility FlexRay Transport Layer FrArTp on slide ""ki890"".  Added an overview chapter for energy management and partial networking",4
